w1 w2 q a
мальчик_NOUN девочка_NOUN отец_NOUN мать_NOUN
мальчик_NOUN девочка_NOUN он_PRON она_PRON
мальчик_NOUN девочка_NOUN муж_NOUN жена_NOUN
мальчик_NOUN девочка_NOUN мужчина_NOUN женщина_NOUN
мальчик_NOUN девочка_NOUN принц_NOUN принцесса_NOUN
мальчик_NOUN девочка_NOUN сын_NOUN дочь_NOUN
отец_NOUN мать_NOUN он_PRON она_PRON
отец_NOUN мать_NOUN муж_NOUN жена_NOUN
отец_NOUN мать_NOUN мужчина_NOUN женщина_NOUN
отец_NOUN мать_NOUN принц_NOUN принцесса_NOUN
отец_NOUN мать_NOUN сын_NOUN дочь_NOUN
отец_NOUN мать_NOUN мальчик_NOUN девочка_NOUN
он_PRON она_PRON муж_NOUN жена_NOUN
он_PRON она_PRON мужчина_NOUN женщина_NOUN
он_PRON она_PRON принц_NOUN принцесса_NOUN
он_PRON она_PRON сын_NOUN дочь_NOUN
он_PRON она_PRON мальчик_NOUN девочка_NOUN
он_PRON она_PRON отец_NOUN мать_NOUN
муж_NOUN жена_NOUN мужчина_NOUN женщина_NOUN
муж_NOUN жена_NOUN принц_NOUN принцесса_NOUN
муж_NOUN жена_NOUN сын_NOUN дочь_NOUN
муж_NOUN жена_NOUN мальчик_NOUN девочка_NOUN
муж_NOUN жена_NOUN отец_NOUN мать_NOUN
муж_NOUN жена_NOUN он_PRON она_PRON
мужчина_NOUN женщина_NOUN принц_NOUN принцесса_NOUN
мужчина_NOUN женщина_NOUN сын_NOUN дочь_NOUN
мужчина_NOUN женщина_NOUN мальчик_NOUN девочка_NOUN
мужчина_NOUN женщина_NOUN отец_NOUN мать_NOUN
мужчина_NOUN женщина_NOUN он_PRON она_PRON
мужчина_NOUN женщина_NOUN муж_NOUN жена_NOUN
принц_NOUN принцесса_NOUN сын_NOUN дочь_NOUN
принц_NOUN принцесса_NOUN мальчик_NOUN девочка_NOUN
принц_NOUN принцесса_NOUN отец_NOUN мать_NOUN
принц_NOUN принцесса_NOUN он_PRON она_PRON
принц_NOUN принцесса_NOUN муж_NOUN жена_NOUN
принц_NOUN принцесса_NOUN мужчина_NOUN женщина_NOUN
сын_NOUN дочь_NOUN мальчик_NOUN девочка_NOUN
сын_NOUN дочь_NOUN отец_NOUN мать_NOUN
сын_NOUN дочь_NOUN он_PRON она_PRON
сын_NOUN дочь_NOUN муж_NOUN жена_NOUN
сын_NOUN дочь_NOUN мужчина_NOUN женщина_NOUN
сын_NOUN дочь_NOUN принц_NOUN принцесса_NOUN
непосредственный_ADJ непосредственно_ADV возможный_ADJ возможно_ADV
непосредственный_ADJ непосредственно_ADV серьезный_ADJ серьезно_ADV
возможный_ADJ возможно_ADV серьезный_ADJ серьезно_ADV
возможный_ADJ возможно_ADV непосредственный_ADJ непосредственно_ADV
серьезный_ADJ серьезно_ADV непосредственный_ADJ непосредственно_ADV
серьезный_ADJ серьезно_ADV возможный_ADJ возможно_ADV
определенный_ADJ неопределенный_ADJ ясный_ADJ неясный_ADJ
определенный_ADJ неопределенный_ADJ известный_ADJ неизвестный_ADJ
определенный_ADJ неопределенный_ADJ вероятный_ADJ невероятный_ADJ
определенный_ADJ неопределенный_ADJ возможный_ADJ невозможный_ADJ
ясный_ADJ неясный_ADJ известный_ADJ неизвестный_ADJ
ясный_ADJ неясный_ADJ вероятный_ADJ невероятный_ADJ
ясный_ADJ неясный_ADJ возможный_ADJ невозможный_ADJ
ясный_ADJ неясный_ADJ определенный_ADJ неопределенный_ADJ
известный_ADJ неизвестный_ADJ вероятный_ADJ невероятный_ADJ
известный_ADJ неизвестный_ADJ возможный_ADJ невозможный_ADJ
известный_ADJ неизвестный_ADJ определенный_ADJ неопределенный_ADJ
известный_ADJ неизвестный_ADJ ясный_ADJ неясный_ADJ
вероятный_ADJ невероятный_ADJ возможный_ADJ невозможный_ADJ
вероятный_ADJ невероятный_ADJ определенный_ADJ неопределенный_ADJ
вероятный_ADJ невероятный_ADJ ясный_ADJ неясный_ADJ
вероятный_ADJ невероятный_ADJ известный_ADJ неизвестный_ADJ
возможный_ADJ невозможный_ADJ определенный_ADJ неопределенный_ADJ
возможный_ADJ невозможный_ADJ ясный_ADJ неясный_ADJ
возможный_ADJ невозможный_ADJ известный_ADJ неизвестный_ADJ
возможный_ADJ невозможный_ADJ вероятный_ADJ невероятный_ADJ
